section,department,strategic_pillar,production,metric,question_id,question_text,response_type,options,required,display_order,kpi_type,ai_weight,depends_on,strategic_objectives_id
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4a,In which cities?,text,,FALSE,401,inclusion,2,COMM_ACCESS_Q4,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4b,How long were each of the programs delivered (weeks)?,text,,FALSE,402,inclusion,2,COMM_ACCESS_Q4,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4c,List any partners by city if there were any.,text,,FALSE,403,inclusion,1,COMM_ACCESS_Q4,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4d,How many students did we serve in each city?,text,,FALSE,404,inclusion,2,COMM_ACCESS_Q4,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4e,What feedback did we receive from participants or partners about our programming? Were there any issues raised?,text,,FALSE,405,inclusion,2,COMM_ACCESS_Q4,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4f,Do we have plans to deliver the program later this year?,yes_no,"Yes,No",FALSE,406,inclusion,2,COMM_ACCESS_Q4=No,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4g,In which cities and when?,text,,FALSE,407,inclusion,2,COMM_ACCESS_Q4f,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4h,Why not?,text,,FALSE,408,inclusion,2,COMM_ACCESS_Q4f=No,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4i,Are there any cities in our Newcomers Programming strategy that we're not planning to deliver this year?,yes_no,"Yes,No",FALSE,409,inclusion,2,COMM_ACCESS_Q4,COM3
Community Access,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_ACCESS_Q4j,In which cities and why aren't we delivering this program?,text,,FALSE,410,inclusion,2,COMM_ACCESS_Q4i,COM3
Community Access,Community,Community Ticket Program,Community Programs,Free or Sponsor-paid Tickets,COMM_ACCESS_Q5,Did we provide any free or sponsor-paid tickets to community members or groups this reporting period?,yes_no,"Yes,No",FALSE,500,accessibility,3,,COM5
Community Access,Community,Community Ticket Program,Community Programs,Free or Sponsor-paid Tickets,COMM_ACCESS_Q5a,"If yes, approximately how many tickets did we provide and to which community groups or partners?",number,,FALSE,501,accessibility,2,COMM_ACCESS_Q5,COM5
Community Access,Community,Community Ticket Program,Community Programs,Ticket Access Outcomes,COMM_ACCESS_Q5b,"If yes, what outcomes did you observe (new audiences, deeper relationships, repeat attendance)?",text,,FALSE,502,accessibility,1,COMM_ACCESS_Q5,COM5
Community Access,Community,Provincial Touring,Community Programs,Province-wide Performances,COMM_ACCESS_Q6,"Did we perform anywhere throughout the province this reporting period (community performances, pop-ups, or tours)?",yes_no,"Yes,No",FALSE,600,outreach,3,,COM1
Community Access,Community,Provincial Touring,Community Programs,Province-wide Performances,COMM_ACCESS_Q6a,"If yes, where did we perform, what was the context, and approximately how many people attended each location?",text,,FALSE,601,outreach,2,COMM_ACCESS_Q6,COM1
Community Access,Community,Provincial Touring,Community Programs,Provincial Performance Outcomes,COMM_ACCESS_Q6b,"How did we use these performances to build relationships, promote programs, or increase access to tickets and classes?",text,,FALSE,602,outreach,1,COMM_ACCESS_Q6,COM1
Community Access,Community,Provincial Touring,Community Programs,Provincial Performance Gaps,COMM_ACCESS_Q6c,"If not, were there provincial opportunities we considered but could not pursue this period?",text,,FALSE,603,outreach,1,COMM_ACCESS_Q6=No,COM1
Fundraising,Community,Access Dance,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q01d,What was the budget target ($) for Access Dance?,number,,FALSE,704,financial,2,,COM1
Fundraising,Community,Access Dance,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q01a,How much funding did we secure for Access Dance?,number,,FALSE,701,accessibility,2,,COM1
Fundraising,Community,Access Dance,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q01b,What were the funding sources for Access Dance and for how much?,text,,FALSE,702,accessibility,2,,COM1
Fundraising,Community,Access Dance,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q01g,Explain the variance for Access Dance between Budget and Actuals so far this year.,text,,FALSE,707,accessibility,2,,COM1
Fundraising,Community,Access Dance - Rural,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q02d,What was the budget target ($) for Access Dance - Rural?,number,,FALSE,714,accessibility,2,,COM1
Fundraising,Community,Access Dance - Rural,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q02a,How much funding did we secure for Access Dance - Rural?,number,,FALSE,711,accessibility,2,,COM1
Fundraising,Community,Access Dance - Rural,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q02b,What were the funding sources for Access Dance - Rural and for how much?,text,,FALSE,712,accessibility,2,,COM1
Fundraising,Community,Access Dance - Rural,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q02g,Explain the variance for Access Dance - Rural between Budget and Actuals so far this year.,text,,FALSE,717,accessibility,2,,COM1
Fundraising,Community,Powwow & Ballet,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q03d,What was the budget target ($) for Powwow & Ballet?,number,,FALSE,724,accessibility,2,,COM1
Fundraising,Community,Powwow & Ballet,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q03a,How much funding did we secure for Powwow & Ballet?,number,,FALSE,721,accessibility,2,,COM1
Fundraising,Community,Powwow & Ballet,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q03b,What were the funding sources  for Powwow & Ballet and for how much?,text,,FALSE,722,accessibility,2,,COM1
Fundraising,Community,Powwow & Ballet,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q03g,Explain the variance for Powwow & Ballet between Budget and Actuals so far this year.,text,,FALSE,727,accessibility,2,,COM1
Fundraising,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q04d,What was the budget target ($) for the Newcomers Program?,number,,FALSE,734,accessibility,2,,COM1
Fundraising,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q04a,How much funding did we secure for Newcomers Programming?,number,,FALSE,731,accessibility,2,,COM1
Fundraising,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q04b,What were the funding sourcesfor for Newcomers Programming and for how much?,text,,FALSE,732,accessibility,2,,COM1
Fundraising,Community,Newcomers Programming,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q04g,Explain the variance for the Newcomers Program between Budget and Actuals so far this year.,text,,FALSE,737,accessibility,2,,COM1
Fundraising,Community,Community Ticket Program,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q05d,What was the budget target ($) for the Community Ticket Program?,number,,FALSE,744,accessibility,2,,COM1
Fundraising,Community,Community Ticket Program,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q05a,How much funding did we secure for the Community Ticket Program?,number,,FALSE,741,accessibility,2,,COM1
Fundraising,Community,Community Ticket Program,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q05b,What were the funding sources for the Community Ticket Program and for how much?,text,,FALSE,742,accessibility,2,,COM1
Fundraising,Community,Community Ticket Program,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q05g,Explain the variance for the Community Ticket Program between Budget and Actuals so far this year.,text,,FALSE,747,accessibility,2,,COM1
Fundraising,Community,Growing Up Strong,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q06,What was the budget target ($) for Growing Up Strong?,number,"Yes,No",FALSE,750,accessibility,2,,COM1
Fundraising,Community,Growing Up Strong,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q06a,How much funding did we secure for Growing Up Strong (general)?,number,,FALSE,751,accessibility,2,,COM1
Fundraising,Community,Growing Up Strong,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q06b,What were the funding sources for Growing Up Strong and for how much?,text,,FALSE,752,accessibility,2,,COM1
Fundraising,Community,Growing Up Strong,Community Programs,Cultural Access Gaps,COMM_FINANCIAL_Q06c,Explain the variance for Growing Up Strong between Budget and Actuals so far this year.,text,"Yes,No",FALSE,753,accessibility,2,,COM1
Marketing,Community,Marketing,Recreational Classes - Calgary,Targeted Marketing Campaigns,COMM_REC_Q1,Did we launch targeted marketing campaigns for Alberta Ballet recreational classes this reporting period in Calgary?,yes_no,"Yes,No",FALSE,10,enrollment_growth,3,,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Targeted Marketing Campaigns,COMM_REC_Q1a,"If yes, which campaigns did we run (channels, audiences, key messages)?",text,,FALSE,11,enrollment_growth,2,COMM_REC_Q1,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Marketing Campaign Outcomes,COMM_REC_Q1b,"What measurable results did these campaigns generate (inquiries, website visits, registrations, engagement) in Calgary?",text,,FALSE,12,enrollment_growth,2,COMM_REC_Q1,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Marketing Campaign Barriers,COMM_REC_Q1c,"If not, what prevented us from running targeted campaigns this period (budget, timing, capacity, creative)?",text,,FALSE,13,enrollment_growth,2,COMM_REC_Q1=No,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,New & Returning Students Secured,COMM_REC_Q2,Did we see growth in new or returning students in Alberta Ballet recreational classes this reporting period compared to a typical month in Calgary?,yes_no,"Yes,No",FALSE,20,enrollment_growth,3,,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,New Students This Period,COMM_REC_Q2a,"If yes, how many NEW recreational students registered this period (best estimate is fine)?",number,,FALSE,21,enrollment_growth,2,COMM_REC_Q2,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,Returning Students This Period,COMM_REC_Q2b,"If yes, how many RETURNING recreational students continued or re-registered this period?",number,,FALSE,22,enrollment_growth,2,COMM_REC_Q2,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,Enrollment Headwinds,COMM_REC_Q2c,"If there was no growth or a decline, what do you think contributed (competition, schedule, pricing, awareness)?",text,,FALSE,23,enrollment_growth,2,COMM_REC_Q2=No,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Inclusive Demographics & Marketing,COMM_REC_Q3,Did we intentionally target or reach underrepresented or equity-deserving groups in marketing for recreational classes this reporting period in Calgary?,yes_no,"Yes,No",FALSE,30,inclusion,2,,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Inclusive Demographics & Marketing,COMM_REC_Q3a,"If yes, which groups did we focus on (e.g., newcomers, Indigenous families, racialised communities, low-income neighbourhoods) and what tactics did we use?",text,,FALSE,31,inclusion,1,COMM_REC_Q3,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Inclusive Marketing Gaps,COMM_REC_Q3b,"If not, what opportunities or partners could help us reach more diverse students in future periods?",text,,FALSE,32,inclusion,1,COMM_REC_Q3=No,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,Self-disclosing Diverse Students,COMM_REC_Q4,"Did we enrol any self-disclosing diverse students (e.g., newcomers, Indigenous, racialised, low-income, disability) in recreational classes this reporting period in Calgary?",yes_no,"Yes,No",FALSE,40,inclusion,2,,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,Self-disclosing Diverse Students,COMM_REC_Q4a,"If yes, how many self-disclosing diverse students enrolled or continued this period?",number,,FALSE,41,inclusion,1,COMM_REC_Q4,COM2
Enrollment,Community,Enrollment,Recreational Classes - Calgary,Access Barriers for Diverse Students,COMM_REC_Q4b,"If not, what might be limiting access for these students (location, cost, transportation, awareness, cultural barriers)?",text,,FALSE,42,inclusion,1,COMM_REC_Q4=No,COM2
Marketing,Community,Marketing,Recreational Classes - Calgary,Discounted Performance Tickets for Students,COMM_REC_Q5,Did we offer discounted or sponsored performance tickets to recreational students or their families this reporting period in Calgary?,yes_no,"Yes,No",FALSE,50,accessibility,2,,COM4
Marketing,Community,Marketing,Recreational Classes - Calgary,Discounted Performance Tickets for Students,COMM_REC_Q5a,"If yes, how many discounted or sponsored tickets did we provide and to which performances?",text,,FALSE,51,accessibility,1,COMM_REC_Q5,COM4
Marketing,Community,Marketing,Recreational Classes - Calgary,Ticket Access Channels,COMM_REC_Q5b,"If yes, through which channels or partners were these tickets distributed (schools, community groups, direct to families)?",text,,FALSE,52,accessibility,1,COMM_REC_Q5,COM4
Marketing,Community,Marketing,Recreational Classes - Calgary,Ticket Access Barriers,COMM_REC_Q5c,"If not, what prevented us from offering discounted or sponsored tickets this period?",text,,FALSE,53,accessibility,1,COMM_REC_Q5=No,COM4
Marketing,Community,Marketing,Recreational Classes - Calgary,Company Dancer Events with AB Classes,COMM_REC_Q6,"Did we run any company dancer events, in-class experiences, or other special activities with recreational classes this reporting period in Calgary?",yes_no,"Yes,No",FALSE,60,engagement,2,,COM4
Marketing,Community,Marketing,Recreational Classes - Calgary,Company Dancer Events with AB Classes,COMM_REC_Q6a,"If yes, what did we do (e.g., dancer visits, backstage experiences, special workshops) and how many students participated?",text,,FALSE,61,engagement,1,COMM_REC_Q6,COM4
Marketing,Community,Marketing,Recreational Classes - Edmonton,Targeted Marketing Campaigns,COMM_REC_Q7,Did we launch targeted marketing campaigns for Alberta Ballet recreational classes this reporting period in Edmonton?,yes_no,"Yes,No",FALSE,10,enrollment_growth,3,,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Targeted Marketing Campaigns,COMM_REC_Q7a,"If yes, which campaigns did we run (channels, audiences, key messages)?",text,,FALSE,11,enrollment_growth,2,COMM_REC_Q1,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Marketing Campaign Outcomes,COMM_REC_Q7b,"What measurable results did these campaigns generate (inquiries, website visits, registrations, engagement) in Edmonton?",text,,FALSE,12,enrollment_growth,2,COMM_REC_Q1,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Marketing Campaign Barriers,COMM_REC_Q7c,"If not, what prevented us from running targeted campaigns this period (budget, timing, capacity, creative)?",text,,FALSE,13,enrollment_growth,2,COMM_REC_Q1=No,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,New & Returning Students Secured,COMM_REC_Q8,Did we see growth in new or returning students in Alberta Ballet recreational classes this reporting period compared to a typical month in Edmonton?,yes_no,"Yes,No",FALSE,20,enrollment_growth,3,,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,New Students This Period,COMM_REC_Q8a,"If yes, how many NEW recreational students registered this period (best estimate is fine)?",number,,FALSE,21,enrollment_growth,2,COMM_REC_Q2,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,Returning Students This Period,COMM_REC_Q8b,"If yes, how many RETURNING recreational students continued or re-registered this period?",number,,FALSE,22,enrollment_growth,2,COMM_REC_Q2,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,Enrollment Headwinds,COMM_REC_Q8c,"If there was no growth or a decline, what do you think contributed (competition, schedule, pricing, awareness)?",text,,FALSE,23,enrollment_growth,2,COMM_REC_Q2=No,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Inclusive Demographics & Marketing,COMM_REC_Q9,Did we intentionally target or reach underrepresented or equity-deserving groups in marketing for recreational classes this reporting period in Edmonton?,yes_no,"Yes,No",FALSE,30,inclusion,2,,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Inclusive Demographics & Marketing,COMM_REC_Q9a,"If yes, which groups did we focus on (e.g., newcomers, Indigenous families, racialised communities, low-income neighbourhoods) and what tactics did we use?",text,,FALSE,31,inclusion,1,COMM_REC_Q3,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Inclusive Marketing Gaps,COMM_REC_Q9b,"If not, what opportunities or partners could help us reach more diverse students in future periods?",text,,FALSE,32,inclusion,1,COMM_REC_Q3=No,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,Self-disclosing Diverse Students,COMM_REC_Q10,"Did we enrol any self-disclosing diverse students (e.g., newcomers, Indigenous, racialised, low-income, disability) in recreational classes this reporting period in Edmonton?",yes_no,"Yes,No",FALSE,40,inclusion,2,,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,Self-disclosing Diverse Students,COMM_REC_Q10a,"If yes, how many self-disclosing diverse students enrolled or continued this period?",number,,FALSE,41,inclusion,1,COMM_REC_Q4,COM2
Enrollment,Community,Enrollment,Recreational Classes - Edmonton,Access Barriers for Diverse Students,COMM_REC_Q10b,"If not, what might be limiting access for these students (location, cost, transportation, awareness, cultural barriers)?",text,,FALSE,42,inclusion,1,COMM_REC_Q4=No,COM2
Marketing,Community,Marketing,Recreational Classes - Edmonton,Discounted Performance Tickets for Students,COMM_REC_Q11,Did we offer discounted or sponsored performance tickets to recreational students or their families this reporting period in Edmonton?,yes_no,"Yes,No",FALSE,50,accessibility,2,,COM4
Marketing,Community,Marketing,Recreational Classes - Edmonton,Discounted Performance Tickets for Students,COMM_REC_Q11a,"If yes, how many discounted or sponsored tickets did we provide and to which performances?",text,,FALSE,51,accessibility,1,COMM_REC_Q5,COM4
Marketing,Community,Marketing,Recreational Classes - Edmonton,Ticket Access Channels,COMM_REC_Q11b,"If yes, through which channels or partners were these tickets distributed (schools, community groups, direct to families)?",text,,FALSE,52,accessibility,1,COMM_REC_Q5,COM4
Marketing,Community,Marketing,Recreational Classes - Edmonton,Ticket Access Barriers,COMM_REC_Q11c,"If not, what prevented us from offering discounted or sponsored tickets this period?",text,,FALSE,53,accessibility,1,COMM_REC_Q5=No,COM4
Marketing,Community,Marketing,Recreational Classes - Edmonton,Company Dancer Events with AB Classes,COMM_REC_Q12,"Did we run any company dancer events, in-class experiences, or other special activities with recreational classes this reporting period in Edmonton?",yes_no,"Yes,No",FALSE,60,engagement,2,,COM4
Marketing,Community,Marketing,Recreational Classes - Edmonton,Company Dancer Events with AB Classes,COMM_REC_Q12a,"If yes, what did we do (e.g., dancer visits, backstage experiences, special workshops) and how many students participated?",text,,FALSE,61,engagement,1,COMM_REC_Q6,COM4
Enrollment,Community,AB Classes,Recreational Classes - Calgary,Enrollment Revenue,COMM_REC_FIN_Q1,"The budget for AB Classes in Calgary was $850,349. How much revenue have we generated for AB Classes so far this year (excluding Adults, Summer Programs, and Provincial Affiliates) in Calgary?",number,,FALSE,63,financial,2,,COM2
Enrollment,Community,AB Classes,Recreational Classes - Calgary,Enrollment Revenue,COMM_REC_FIN_Q1a,Explain the variance for AB Classes in Calgary between Budget and Actuals so far this year.,text,,FALSE,64,financial,2,,COM2
Enrollment,Community,AB Classes,Recreational Classes - Calgary,Enrollment Revenue,COMM_REC_FIN_Q1b,"The budget for AB Class Discounts in Calgary was $15,022. How much did we actually give away in discounts AB Classes so far this year in Calgary?",number,,FALSE,65,financial,2,,COM2
Enrollment,Community,AB Classes,Recreational Classes - Calgary,Enrollment Revenue,COMM_REC_FIN_Q1c,Explain the variance for AB Class Discounts in Calgary between Budget and Actuals so far this year.,text,,FALSE,66,financial,2,,COM2
Enrollment,Community,AB Classes,Recreational Classes - Edmonton,Enrollment Revenue,COMM_REC_FIN_Q2,"The budget for AB Classes in Edmonton was $424,302. How much revenue have we generated for AB Classes so far this year (excluding Adults, Summer Programs, and Provincial Affiliates) in Edmonton?",number,,FALSE,67,financial,2,,COM2
Enrollment,Community,AB Classes,Recreational Classes - Edmonton,Enrollment Revenue,COMM_REC_FIN_Q2a,Explain the variance for AB Classes in Edmonton between Budget and Actuals so far this year.,text,,FALSE,68,financial,2,,COM2
Enrollment,Community,AB Classes,Recreational Classes - Edmonton,Enrollment Revenue,COMM_REC_FIN_Q2b,"The budget for AB Class Discounts in Edmonton was $11,968. How much did we actually give away in discounts  B Classes so far this year in Edmonton?",number,,FALSE,69,financial,2,,COM2
